name,email,phone,password,instituteId,classId,sectionId,courseId
Student1 Morning,student1@testuni.com,+15550001,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student2 Morning,student2@testuni.com,+15550002,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student3 Morning,student3@testuni.com,+15550003,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student4 Morning,student4@testuni.com,+15550004,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student5 Morning,student5@testuni.com,+15550005,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student6 Morning,student6@testuni.com,+15550006,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student7 Morning,student7@testuni.com,+15550007,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student8 Morning,student8@testuni.com,+15550008,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student9 Morning,student9@testuni.com,+15550009,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student10 Morning,student10@testuni.com,+15550010,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83J9CE865416EBF08497,
Student11 Evening,student11@testuni.com,+15550011,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student12 Evening,student12@testuni.com,+15550012,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student13 Evening,student13@testuni.com,+15550013,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student14 Evening,student14@testuni.com,+15550014,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student15 Evening,student15@testuni.com,+15550015,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student16 Evening,student16@testuni.com,+15550016,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student17 Evening,student17@testuni.com,+15550017,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student18 Evening,student18@testuni.com,+15550018,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student19 Evening,student19@testuni.com,+15550019,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student20 Evening,student20@testuni.com,+15550020,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,01KFSZ83JE92BAFC69C1D130B3,
Student21 ClassOnly,student21@testuni.com,+15550021,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student22 ClassOnly,student22@testuni.com,+15550022,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student23 ClassOnly,student23@testuni.com,+15550023,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student24 ClassOnly,student24@testuni.com,+15550024,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student25 ClassOnly,student25@testuni.com,+15550025,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student26 ClassOnly,student26@testuni.com,+15550026,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student27 ClassOnly,student27@testuni.com,+15550027,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student28 ClassOnly,student28@testuni.com,+15550028,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student29 ClassOnly,student29@testuni.com,+15550029,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
Student30 ClassOnly,student30@testuni.com,+15550030,,01KFSRV0T1D39E20016FB874CB,01KFSZ83HQ0A66BDD01A0C3DB4,,
